time_s,raw_code,volts
0.0,33,1.32
4e-07,31,1.24
8e-07,33,1.32
1.2e-06,31,1.24
1.6e-06,31,1.24
2e-06,28,1.12
2.4e-06,31,1.24
2.8e-06,28,1.12
3.2e-06,28,1.12
3.6e-06,27,1.08
4e-06,28,1.12
4.4e-06,26,1.04
4.8e-06,26,1.04
5.199999999999999e-06,24,0.96
5.6e-06,26,1.04
6e-06,24,0.96
6.4e-06,24,0.96
6.799999999999999e-06,22,0.88
7.2e-06,24,0.96
7.6e-06,22,0.88
8e-06,22,0.88
8.4e-06,21,0.84
8.8e-06,22,0.88
9.2e-06,21,0.84
9.6e-06,20,0.8
9.999999999999999e-06,19,0.76
1.0399999999999999e-05,20,0.8
1.08e-05,19,0.76
1.12e-05,19,0.76
1.1599999999999999e-05,18,0.72
1.2e-05,19,0.76
1.24e-05,18,0.72
1.28e-05,17,0.68
1.3199999999999999e-05,16,0.64
1.3599999999999999e-05,18,0.72
1.4e-05,16,0.64
1.44e-05,16,0.64
1.4799999999999999e-05,15,0.6
1.52e-05,16,0.64
1.56e-05,15,0.6
1.6e-05,15,0.6
1.64e-05,14,0.56
1.68e-05,15,0.6
1.7199999999999998e-05,14,0.56
1.76e-05,14,0.56
1.8e-05,13,0.52
1.84e-05,14,0.56
1.88e-05,13,0.52
1.92e-05,13,0.52
1.96e-05,12,0.48
1.9999999999999998e-05,13,0.52
2.0399999999999998e-05,11,0.44
2.0799999999999997e-05,12,0.48
2.12e-05,11,0.44
2.16e-05,12,0.48
2.2e-05,11,0.44
2.24e-05,11,0.44
2.28e-05,10,0.4
2.3199999999999998e-05,11,0.44
2.3599999999999998e-05,10,0.4
2.4e-05,11,0.44
2.44e-05,10,0.4
2.48e-05,10,0.4
2.52e-05,10,0.4
2.56e-05,9,0.36
2.6e-05,8,0.32
2.6399999999999998e-05,10,0.4
2.6799999999999998e-05,8,0.32
2.7199999999999997e-05,8,0.32
2.76e-05,8,0.32
2.8e-05,9,0.36
2.84e-05,8,0.32
2.88e-05,8,0.32
2.9199999999999998e-05,7,0.28
2.9599999999999998e-05,8,0.32
2.9999999999999997e-05,7,0.28
3.04e-05,7,0.28
3.0799999999999996e-05,6,0.24
3.12e-05,7,0.28
3.1599999999999996e-05,7,0.28
3.2e-05,7,0.28
3.24e-05,6,0.24
3.28e-05,7,0.28
3.32e-05,6,0.24
3.36e-05,7,0.28
3.4e-05,6,0.24
3.4399999999999996e-05,6,0.24
3.48e-05,6,0.24
3.52e-05,6,0.24
3.56e-05,5,0.2
3.6e-05,6,0.24
3.64e-05,5,0.2
3.68e-05,5,0.2
3.7199999999999996e-05,5,0.2
3.76e-05,6,0.24
3.7999999999999995e-05,5,0.2
3.84e-05,5,0.2
3.88e-05,4,0.16
3.92e-05,5,0.2
3.96e-05,5,0.2
3.9999999999999996e-05,5,0.2
4.04e-05,4,0.16
4.0799999999999996e-05,5,0.2
4.12e-05,4,0.16
4.1599999999999995e-05,4,0.16
4.2e-05,4,0.16
4.24e-05,4,0.16
4.28e-05,4,0.16
4.32e-05,4,0.16
4.3599999999999996e-05,4,0.16
4.4e-05,4,0.16
4.4399999999999995e-05,4,0.16
4.48e-05,3,0.12
4.52e-05,3,0.12
4.56e-05,4,0.16
4.6e-05,3,0.12
4.6399999999999996e-05,4,0.16
4.68e-05,3,0.12
4.7199999999999995e-05,4,0.16
4.76e-05,3,0.12
4.8e-05,3,0.12
4.84e-05,3,0.12
4.88e-05,4,0.16
4.9199999999999997e-05,3,0.12
4.96e-05,3,0.12
4.9999999999999996e-05,3,0.12
5.04e-05,3,0.12
5.0799999999999995e-05,3,0.12
5.12e-05,3,0.12
5.16e-05,3,0.12
5.2e-05,3,0.12
5.24e-05,3,0.12
5.2799999999999996e-05,3,0.12
5.32e-05,2,0.08
5.3599999999999995e-05,3,0.12
5.4e-05,3,0.12
5.4399999999999994e-05,3,0.12
5.48e-05,2,0.08
5.52e-05,3,0.12
5.5599999999999996e-05,2,0.08
5.6e-05,2,0.08
5.6399999999999995e-05,2,0.08
5.68e-05,3,0.12
5.7199999999999994e-05,2,0.08
5.76e-05,2,0.08
5.8e-05,2,0.08
5.8399999999999997e-05,3,0.12
5.88e-05,2,0.08
5.9199999999999996e-05,2,0.08
5.96e-05,2,0.08
5.9999999999999995e-05,2,0.08
6.04e-05,2,0.08
6.08e-05,2,0.08
6.12e-05,2,0.08
6.159999999999999e-05,2,0.08
6.2e-05,2,0.08
6.24e-05,2,0.08
6.28e-05,2,0.08
6.319999999999999e-05,2,0.08
6.36e-05,2,0.08
6.4e-05,2,0.08
6.44e-05,2,0.08
6.48e-05,2,0.08
6.52e-05,2,0.08
6.56e-05,2,0.08
6.599999999999999e-05,1,0.04
6.64e-05,2,0.08
6.68e-05,2,0.08
6.72e-05,2,0.08
6.76e-05,1,0.04
6.8e-05,2,0.08
6.84e-05,1,0.04
6.879999999999999e-05,2,0.08
6.92e-05,1,0.04
6.96e-05,2,0.08
7e-05,1,0.04
7.04e-05,2,0.08
7.08e-05,1,0.04
7.12e-05,2,0.08
7.159999999999999e-05,1,0.04
7.2e-05,1,0.04
7.24e-05,1,0.04
7.28e-05,2,0.08
7.319999999999999e-05,2,0.08
7.36e-05,1,0.04
7.4e-05,1,0.04
7.439999999999999e-05,2,0.08
7.48e-05,2,0.08
7.52e-05,2,0.08
7.56e-05,1,0.04
7.599999999999999e-05,2,0.08
7.64e-05,1,0.04
7.68e-05,1,0.04
7.719999999999999e-05,1,0.04
7.76e-05,2,0.08
7.8e-05,1,0.04
7.84e-05,1,0.04
7.879999999999999e-05,1,0.04
7.92e-05,1,0.04
7.96e-05,1,0.04
7.999999999999999e-05,1,0.04
8.04e-05,1,0.04
8.08e-05,2,0.08
8.12e-05,3,0.12
8.159999999999999e-05,4,0.16
8.2e-05,4,0.16
8.24e-05,8,0.32
8.28e-05,10,0.4
8.319999999999999e-05,10,0.4
8.36e-05,11,0.44
8.4e-05,14,0.56
8.439999999999999e-05,15,0.6
8.48e-05,16,0.64
8.52e-05,16,0.64
8.56e-05,20,0.8
8.599999999999999e-05,20,0.8
8.64e-05,20,0.8
8.68e-05,22,0.88
8.719999999999999e-05,25,1.0
8.76e-05,26,1.04
8.8e-05,26,1.04
8.84e-05,27,1.08
8.879999999999999e-05,29,1.16
8.92e-05,30,1.2
8.96e-05,30,1.2
8.999999999999999e-05,31,1.24
9.04e-05,34,1.36
9.08e-05,34,1.36
9.12e-05,35,1.4
9.159999999999999e-05,35,1.4
9.2e-05,38,1.52
9.24e-05,38,1.52
9.279999999999999e-05,38,1.52
9.32e-05,39,1.56
9.36e-05,41,1.64
9.4e-05,42,1.68
9.439999999999999e-05,42,1.68
9.48e-05,42,1.68
9.52e-05,44,1.76
9.559999999999999e-05,44,1.76
9.6e-05,45,1.8
9.64e-05,46,1.84
9.68e-05,47,1.88
9.719999999999999e-05,48,1.92
9.76e-05,48,1.92
9.8e-05,48,1.92
9.839999999999999e-05,50,2.0
9.879999999999999e-05,51,2.04
9.92e-05,51,2.04
9.96e-05,51,2.04
9.999999999999999e-05,53,2.12
0.0001004,53,2.12
0.0001008,53,2.12
0.0001012,54,2.16
0.00010159999999999999,55,2.2
0.000102,55,2.2
0.0001024,56,2.24
0.00010279999999999999,56,2.24
0.0001032,57,2.28
0.0001036,58,2.32
0.000104,58,2.32
0.00010439999999999999,58,2.32
0.0001048,59,2.36
0.0001052,59,2.36
0.00010559999999999999,60,2.4
0.000106,59,2.36
0.0001064,61,2.44
0.0001068,61,2.44
0.00010719999999999999,62,2.48
0.0001076,62,2.48
0.000108,63,2.52
0.00010839999999999999,63,2.52
0.00010879999999999999,62,2.48
0.0001092,63,2.52
0.0001096,64,2.56
0.00010999999999999999,64,2.56
0.0001104,64,2.56
0.0001108,64,2.56
0.00011119999999999999,66,2.64
0.00011159999999999999,66,2.64
0.000112,66,2.64
0.0001124,66,2.64
0.00011279999999999999,67,2.68
0.0001132,67,2.68
0.0001136,67,2.68
0.00011399999999999999,67,2.68
0.00011439999999999999,68,2.72
0.0001148,68,2.72
0.0001152,68,2.72
0.00011559999999999999,68,2.72
0.000116,69,2.76
0.0001164,69,2.76
0.00011679999999999999,70,2.8
0.00011719999999999999,69,2.76
0.0001176,70,2.8
0.000118,70,2.8
0.00011839999999999999,70,2.8
0.0001188,70,2.8
0.0001192,71,2.84
0.0001196,71,2.84
0.00011999999999999999,71,2.84
0.0001204,71,2.84
0.0001208,72,2.88
0.00012119999999999999,72,2.88
0.0001216,72,2.88
0.000122,72,2.88
0.0001224,73,2.92
0.0001228,72,2.88
0.00012319999999999999,73,2.92
0.0001236,73,2.92
0.000124,74,2.96
0.0001244,74,2.96
0.0001248,74,2.96
0.0001252,74,2.96
0.0001256,74,2.96
0.000126,74,2.96
0.00012639999999999998,74,2.96
0.0001268,74,2.96
0.0001272,75,3.0
0.00012759999999999998,75,3.0
0.000128,75,3.0
0.0001284,75,3.0
0.0001288,75,3.0
0.0001292,75,3.0
0.0001296,75,3.0
0.00013,75,3.0
0.0001304,76,3.04
0.00013079999999999998,75,3.0
0.0001312,76,3.04
0.0001316,76,3.04
0.00013199999999999998,76,3.04
0.0001324,76,3.04
0.0001328,76,3.04
0.00013319999999999999,76,3.04
0.0001336,77,3.08
0.000134,76,3.04
0.0001344,77,3.08
0.0001348,77,3.08
0.0001352,78,3.12
0.0001356,77,3.08
0.000136,77,3.08
0.00013639999999999998,77,3.08
0.0001368,78,3.12
0.0001372,77,3.08
0.00013759999999999998,78,3.12
0.000138,78,3.12
0.0001384,78,3.12
0.00013879999999999999,78,3.12
0.0001392,78,3.12
0.0001396,78,3.12
0.00014,78,3.12
0.0001404,78,3.12
0.0001408,78,3.12
0.0001412,78,3.12
0.0001416,79,3.16
0.00014199999999999998,78,3.12
0.0001424,79,3.16
0.0001428,78,3.12
0.00014319999999999998,79,3.16
0.0001436,79,3.16
0.000144,79,3.16
0.00014439999999999999,79,3.16
0.0001448,79,3.16
0.0001452,79,3.16
0.0001456,79,3.16
0.000146,79,3.16
0.00014639999999999998,79,3.16
0.0001468,79,3.16
0.0001472,79,3.16
0.00014759999999999998,79,3.16
0.000148,80,3.2
0.0001484,80,3.2
0.00014879999999999998,79,3.16
0.0001492,79,3.16
0.0001496,80,3.2
0.00015,79,3.16
0.0001504,79,3.16
0.0001508,79,3.16
0.0001512,80,3.2
0.0001516,80,3.2
0.00015199999999999998,80,3.2
0.0001524,79,3.16
0.0001528,80,3.2
0.00015319999999999998,80,3.2
0.0001536,80,3.2
0.000154,80,3.2
0.00015439999999999999,80,3.2
0.0001548,80,3.2
0.0001552,80,3.2
0.0001556,80,3.2
0.000156,80,3.2
0.00015639999999999998,80,3.2
0.0001568,80,3.2
0.0001572,80,3.2
0.00015759999999999998,80,3.2
0.000158,80,3.2
0.0001584,80,3.2
0.00015879999999999998,80,3.2
0.0001592,80,3.2
0.0001596,80,3.2
0.00015999999999999999,80,3.2
0.0001604,80,3.2
0.0001608,81,3.24
0.0001612,80,3.2
0.0001616,81,3.24
0.00016199999999999998,80,3.2
0.0001624,81,3.24
0.0001628,81,3.24
0.00016319999999999998,80,3.2
0.0001636,80,3.2
0.000164,81,3.24
0.00016439999999999998,81,3.24
0.0001648,80,3.2
0.0001652,80,3.2
0.0001656,81,3.24
0.000166,81,3.24
0.00016639999999999998,82,3.28
0.0001668,80,3.2
0.0001672,81,3.24
0.00016759999999999998,81,3.24
0.000168,81,3.24
0.0001684,81,3.24
0.00016879999999999998,81,3.24
0.0001692,81,3.24
0.0001696,81,3.24
0.00016999999999999999,80,3.2
0.0001704,81,3.24
0.0001708,81,3.24
0.0001712,81,3.24
0.0001716,80,3.2
0.00017199999999999998,81,3.24
0.0001724,81,3.24
0.0001728,81,3.24
0.00017319999999999998,81,3.24
0.0001736,81,3.24
0.000174,80,3.2
0.00017439999999999998,81,3.24
0.0001748,81,3.24
0.0001752,82,3.28
0.00017559999999999999,81,3.24
0.000176,81,3.24
0.0001764,81,3.24
0.0001768,82,3.28
0.0001772,81,3.24
0.00017759999999999998,82,3.28
0.000178,81,3.24
0.0001784,82,3.28
0.00017879999999999998,81,3.24
0.0001792,82,3.28
0.0001796,76,3.04
0.00017999999999999998,81,3.24
0.0001804,76,3.04
0.0001808,75,3.0
0.00018119999999999999,70,2.8
0.0001816,75,3.0
0.00018199999999999998,70,2.8
0.0001824,69,2.76
0.0001828,65,2.6
0.00018319999999999998,68,2.72
0.0001836,64,2.56
0.000184,64,2.56
0.00018439999999999998,59,2.36
0.0001848,63,2.52
0.0001852,59,2.36
0.00018559999999999998,59,2.36
0.000186,55,2.2
0.0001864,58,2.32
0.0001868,54,2.16
0.0001872,54,2.16
0.00018759999999999998,51,2.04
0.000188,53,2.12
0.0001884,50,2.0
0.00018879999999999998,50,2.0
0.0001892,47,1.88
0.0001896,49,1.96
0.00018999999999999998,46,1.84
0.0001904,46,1.84
0.0001908,43,1.72
0.00019119999999999999,46,1.84
0.0001916,43,1.72
0.000192,42,1.68
0.0001924,39,1.56
0.0001928,42,1.68
0.00019319999999999998,40,1.6
0.0001936,39,1.56
0.000194,36,1.44
0.00019439999999999998,39,1.56
0.0001948,36,1.44
0.0001952,35,1.4
0.00019559999999999998,33,1.32
0.000196,35,1.4
0.0001964,33,1.32
0.00019679999999999999,33,1.32
0.0001972,31,1.24
0.00019759999999999998,32,1.28
0.000198,31,1.24
0.0001984,30,1.2
0.00019879999999999998,28,1.12
0.0001992,30,1.2
0.0001996,28,1.12
0.00019999999999999998,28,1.12
0.0002004,26,1.04
0.0002008,28,1.12
0.00020119999999999998,26,1.04
0.0002016,26,1.04
0.000202,24,0.96
0.0002024,26,1.04
0.0002028,24,0.96
0.00020319999999999998,24,0.96
0.0002036,22,0.88
0.000204,24,0.96
0.00020439999999999998,22,0.88
0.0002048,22,0.88
0.0002052,21,0.84
0.00020559999999999998,22,0.88
0.000206,20,0.8
0.0002064,20,0.8
0.00020679999999999999,19,0.76
0.0002072,20,0.8
0.00020759999999999998,19,0.76
0.000208,19,0.76
0.0002084,18,0.72
0.00020879999999999998,19,0.76
0.0002092,18,0.72
0.0002096,17,0.68
0.00020999999999999998,16,0.64
0.0002104,17,0.68
0.0002108,16,0.64
0.00021119999999999998,15,0.6
0.0002116,15,0.6
0.000212,16,0.64
0.00021239999999999999,15,0.6
0.0002128,15,0.6
0.00021319999999999998,14,0.56
0.0002136,15,0.6
0.000214,14,0.56
0.00021439999999999998,13,0.52
0.0002148,12,0.48
0.0002152,14,0.56
0.00021559999999999998,13,0.52
0.000216,13,0.52
0.0002164,12,0.48
0.00021679999999999998,13,0.52
0.0002172,12,0.48
0.00021759999999999998,12,0.48
0.00021799999999999999,11,0.44
0.0002184,12,0.48
0.00021879999999999998,11,0.44
0.0002192,11,0.44
0.0002196,10,0.4
0.00021999999999999998,11,0.44
0.0002204,10,0.4
0.0002208,10,0.4
0.00022119999999999998,10,0.4
0.0002216,10,0.4
0.000222,9,0.36
0.00022239999999999998,9,0.36
0.0002228,8,0.32
0.00022319999999999998,9,0.36
0.0002236,8,0.32
0.000224,8,0.32
0.00022439999999999998,8,0.32
0.0002248,9,0.36
0.0002252,8,0.32
0.00022559999999999998,8,0.32
0.000226,7,0.28
0.0002264,8,0.32
0.00022679999999999998,7,0.28
0.0002272,7,0.28
0.0002276,6,0.24
0.00022799999999999999,7,0.28
0.0002284,7,0.28
0.00022879999999999998,6,0.24
0.0002292,6,0.24
0.0002296,7,0.28
0.00022999999999999998,6,0.24
0.0002304,6,0.24
0.0002308,6,0.24
0.00023119999999999998,6,0.24
0.0002316,6,0.24
0.000232,5,0.2
0.00023239999999999998,5,0.2
0.0002328,6,0.24
0.00023319999999999998,5,0.2
0.00023359999999999999,5,0.2
0.000234,5,0.2
0.00023439999999999998,5,0.2
0.0002348,4,0.16
0.0002352,5,0.2
0.00023559999999999998,4,0.16
0.000236,5,0.2
0.0002364,5,0.2
0.00023679999999999998,5,0.2
0.0002372,4,0.16
0.0002376,4,0.16
0.00023799999999999998,4,0.16
0.0002384,4,0.16
0.00023879999999999998,4,0.16
0.0002392,4,0.16
0.0002396,4,0.16
0.00023999999999999998,4,0.16
0.0002404,3,0.12
0.0002408,4,0.16
0.00024119999999999998,4,0.16
0.0002416,4,0.16
0.000242,3,0.12
0.00024239999999999998,4,0.16
0.0002428,4,0.16
0.0002432,4,0.16
0.00024359999999999999,3,0.12
0.000244,3,0.12
0.0002444,3,0.12
0.0002448,3,0.12
0.0002452,3,0.12
0.0002456,3,0.12
0.00024599999999999996,3,0.12
0.00024639999999999997,3,0.12
0.0002468,3,0.12
0.0002472,3,0.12
0.0002476,3,0.12
0.000248,3,0.12
0.00024839999999999997,3,0.12
0.0002488,3,0.12
0.0002492,3,0.12
