t_us,volt
26358.0,3.2291
26360.0,3.235545
26362.0,3.24199
26364.01,3.245214
26366.0,3.250048
26368.0,3.255687
26370.01,3.258911
26372.0,3.263744
26374.01,3.267772
26376.01,3.268578
26378.0,3.273412
26380.0,3.275024
26382.01,3.27744
26384.0,3.279857
26386.0,3.28308
26388.01,3.286303
26390.0,3.287109
26392.01,3.23635
26394.01,2.967204
26396.0,2.724645
26398.0,2.502228
26400.0,2.297536
26402.0,2.109764
26404.0,1.9381044
26406.01,1.7785304
26408.0,1.631041
26410.01,1.502133
26412.01,1.3820364
26414.0,1.270853
26416.0,1.1652596
26418.0,1.071801
26420.0,0.983932
26422.0,0.9065874
26424.01,0.8372988
26426.0,0.764738
26428.01,0.7027006
26430.01,0.649526
26432.0,0.5971068
26434.0,0.5495718
26436.0,0.5052598
26438.01,0.4665872
26440.0,0.4295261
26442.01,0.3956373
26444.0,0.3626047
26446.0,0.334406
26448.01,0.3086243
26450.0,0.284454
26452.0,0.2627007
26454.0,0.2409475
26456.01,0.2288624
26458.0,0.2054474
26460.01,0.19336224
26462.01,0.1748318
26464.0,0.1619409
26466.01,0.14985576
26468.01,0.1377706
26470.0,0.1281025
26472.0,0.11843436
26474.01,0.1079606
26476.0,0.1015152
26478.0,0.09345846
26480.01,0.08620734
26482.0,0.07653924
26484.01,0.07492788
26486.01,0.06928818
26488.0,0.06525976
26490.0,0.0612314
26492.0,0.05639736
26494.0,0.05156327
26496.0,0.04834056
26498.01,0.04592355
26500.0,0.04189516
26502.01,0.04028382
26504.01,0.03786679
26506.0,0.03464409
26508.0,0.03383841
26510.0,0.02819868
26512.0,0.02819868
26514.0,0.025781632
26516.01,0.2345021
26518.0,0.4827008
26520.01,0.7163972
26522.01,0.9291462
26524.0,1.1233648
26526.0,1.299052
26528.0,1.464266
26530.01,1.613316
26532.0,1.7551656
26534.01,1.880095
26536.0,1.995307
26538.0,2.103318
26540.01,2.199999
26542.0,2.28948
26544.0,2.370854
26546.0,2.441753
26548.01,2.515119
26550.0,2.58038
26552.01,2.64
26554.01,2.693224
26556.0,2.739953
26558.01,2.786683
26560.0,2.8277724
26562.0,2.861611
26564.0,2.9019448
26566.01,2.934172
26568.0,2.967204
26570.0,2.992181
26572.01,3.017962
26574.0,3.040522
26576.01,3.058246
26578.01,3.079999
26580.0,3.099386
26582.0,3.116305
26584.01,3.130806
26586.0,3.146116
26588.0,3.158201
26590.01,3.168674
26592.0,3.175925
26594.01,3.191233
26596.01,3.200096
26598.0,3.208958
26600.0,3.217015
26602.0,3.224265
26604.0,3.2299052
26606.0,3.23635
26608.01,3.24199
