t_us,volt
32414.02,0.07653924
32416.0,0.06848246
32418.01,0.06525976
32419.992,0.0644541
32422.0,0.05639736
32424.01,0.05236894
32426.0,0.0475349
32428.0,0.04511786
32430.01,0.04189516
32432.02,0.03706112
32434.0,0.03544975
32436.01,0.03222704
32437.992,0.03142138
32440.0,0.02981002
32442.01,0.02739299
32444.0,0.024975968
32446.0,0.02417028
32448.01,0.023364616
32450.02,0.02175326
32452.0,0.2836484
32454.01,0.5479606
32456.0,0.788908
32458.01,1.0072968
32460.01,1.206349
32462.0,1.389288
32464.0,1.5520848
32465.992,1.7036024
32468.02,1.8405672
32470.0,1.9663036
32472.01,2.08237
32474.0,2.191137
32476.01,2.28384
32478.01,2.370048
32480.0,2.449809
32482.0,2.522371
32483.992,2.5884368
32486.02,2.648056
32488.01,2.706115
32490.01,2.758484
32492.0,2.8044076
32494.01,2.8454976
32496.01,2.885781
32498.0,2.925309
32500.0,2.952703
32501.992,2.984124
32504.02,3.013129
32506.01,3.038104
32508.01,3.059858
32510.0,3.079193
32512.01,3.099386
32514.01,3.114693
32516.0,3.132418
32518.01,3.147726
32519.992,3.161423
32522.02,3.1710908
32524.01,3.183981
32526.01,3.193651
32528.0,3.206541
32530.0,3.211375
32532.01,3.221043
32534.0,3.2291
32536.01,3.235545
32537.992,3.241185
32540.02,3.24199
32542.01,3.250854
32544.01,3.254882
32546.0,3.259715
32548.0,3.26455
32550.01,3.269384
32552.0,3.274218
32554.01,3.274218
32555.992,3.275829
32558.02,3.278246
32560.01,3.280663
32562.01,3.28308
32564.0,3.286303
32566.01,3.287109
32568.02,3.290331
32570.0,3.291137
32572.01,3.291942
32573.992,3.14531
32576.0,2.872085
32578.01,2.623886
32580.01,2.39583
32582.0,2.190332
32584.01,2.0001416
32586.02,1.8284824
32588.0,1.668152
32590.01,1.5287204
32591.992,1.397345
32594.0,1.2797156
32596.01,1.1660652
32598.02,1.066967
32600.0,0.9790982
32602.01,0.8953076
32604.02,0.8154954
32606.0,0.7478186
32608.01,0.6865872
32610.0,0.6277726
32612.0,0.576159
32614.01,0.5278188
32616.02,0.4835064
32618.0,0.4432226
32620.01,0.4053056
32621.992,0.3722726
32624.0,0.3400456
32626.01,0.311847
32628.0,0.2876767
32630.0,0.2618951
32632.01,0.24014184
32634.02,0.21838864
32636.0,0.2030304
32638.01,0.1869169
32639.992,0.171609
32642.01,0.15710684
32644.01,0.1450217
32646.0,0.13051952
32648.0,0.1192401
32650.01,0.11360036
32652.02,0.1047379
32654.0,0.0950698
32656.01,0.08701304
32658.0,0.0813733
32660.01,0.07492788
32662.01,0.06928818
32664.0,0.06203707
32666.0,0.05881435
32667.992,0.05559165
32670.02,0.05317464
32672.0,0.04834056
32674.01,0.04270084
32676.0,0.0410895
32678.01,0.03544975
32680.01,0.03464409
32682.0,0.03303272
32684.0,0.02981002
32685.992,0.029004348
32688.02,0.02658732
32690.01,0.024975968
32692.01,0.024975968
32694.0,0.02255893
32696.01,0.03625542
32698.01,0.3223209
32700.0,0.581799
32702.0,0.8154954
32703.992,1.0331284
32706.02,1.2281024
32708.01,1.4070128
32710.01,1.5706156
32712.0,1.722133
32714.0,1.8550692
32716.01,1.981611
32718.0,2.096873
32720.01,2.199999
32721.992,2.292702
32724.02,2.379716
32726.01,2.457866
32728.01,2.530427
32730.0,2.598104
32732.0,2.65853
32734.01,2.713366
32736.0,2.762513
32738.01,2.808436
32739.992,2.851943
32742.02,2.890665
32744.01,2.92692
32746.01,2.958342
32748.0,2.988153
32750.0,3.015545
32752.02,3.03891
32754.0,3.061469
32756.01,3.083222
32757.992,3.102608
32760.02,3.117111
32762.01,3.136446
32764.01,3.148532
32766.0,3.162229
32768.0,3.174314
32770.02,3.185593
32772.0,3.192845
32774.0,3.205736
32776.0,3.214598
32778.0,3.221849
32780.0,3.2291
32782.02,3.237156
32784.0,3.240379
32786.0,3.246826
32788.02,3.251659
32790.0,3.252465
32792.0,3.262133
32794.0,3.265355
32796.0,3.266161
32798.0,3.267772
32800.02,3.274218
32802.0,3.278246
32804.0,3.279052
32806.02,3.281469
32808.0,3.284691
32810.0,3.285497
32812.0,3.282275
32814.0,3.287914
32816.0,3.290331
32818.02,3.291942
32820.0,3.111471
32822.0,2.842275
32824.0,2.595687
32826.0,2.372465
32828.0,2.167773
